Using backend: pytorch
  NumNodes: 2708
  NumEdges: 10556
  NumFeats: 1433
  NumClasses: 7
  NumTrainingSamples: 140
  NumValidationSamples: 500
  NumTestSamples: 1000
Done loading data from cached files.
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
--------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            aten::relu         0.51%      92.352ms         0.90%     162.848ms     814.238us      89.610ms         0.50%     158.140ms     790.699us           0 b           0 b     297.51 Mb           0 b           200  
                         ReluBackward0         0.23%      42.314ms         0.83%     151.530ms     757.648us      42.695ms         0.24%     155.585ms     777.927us           0 b           0 b     297.51 Mb           0 b           200  
                    aten::masked_fill_         0.78%     141.394ms         0.78%     141.394ms     471.315us     139.564ms         0.77%     139.564ms     465.214us           0 b           0 b           0 b           0 b           300  
                         aten::addcmul         0.76%     137.197ms         0.76%     137.197ms     228.662us     139.557ms         0.77%     139.557ms     232.595us           0 b           0 b           0 b           0 b           600  
                         aten::addcdiv         0.77%     139.383ms         0.77%     139.383ms     232.306us     138.934ms         0.77%     138.934ms     231.557us           0 b           0 b           0 b           0 b           600  
                       aten::expand_as         0.62%     112.673ms         0.78%     141.729ms     157.477us     136.796ms         0.76%     136.796ms     151.996us           0 b           0 b           0 b           0 b           900  
                      aten::index_add_         0.73%     131.722ms         0.73%     131.722ms     439.074us     130.938ms         0.72%     130.938ms     436.459us           0 b           0 b           0 b           0 b           300  
                       aten::new_zeros         0.11%      20.704ms         0.65%     117.346ms       1.173ms      22.282ms         0.12%     117.279ms       1.173ms           0 b           0 b       7.28 Mb           0 b           100  
              aten::threshold_backward         0.48%      87.384ms         0.60%     109.216ms     546.079us     112.890ms         0.62%     112.890ms     564.449us           0 b           0 b     297.51 Mb           0 b           200  
                            aten::item         0.37%      67.332ms         0.57%     103.666ms     345.555us      63.667ms         0.35%     101.326ms     337.752us           0 b           0 b           0 b           0 b           300  
                           aten::copy_         0.53%      96.227ms         0.53%      96.227ms     240.568us      98.272ms         0.54%      98.272ms     245.681us           0 b           0 b           0 b           0 b           400  
                     aten::result_type         0.54%      98.288ms         0.54%      98.288ms     327.627us      93.962ms         0.52%      93.962ms     313.206us           0 b           0 b           0 b           0 b           300  
                        aten::nll_loss         0.12%      21.970ms         0.49%      89.765ms     897.654us      20.615ms         0.11%      87.317ms     873.168us           0 b           0 b     100.00 Kb           0 b           100  
                       NllLossBackward         0.14%      24.746ms         0.49%      89.772ms     897.723us      23.751ms         0.13%      86.901ms     869.015us           0 b           0 b     400.00 Kb           0 b           100  
                     aten::log_softmax         0.12%      22.461ms         0.46%      84.135ms     841.351us      22.255ms         0.12%      83.241ms     832.408us           0 b           0 b       7.28 Mb           0 b           100  
                            aten::conj         0.48%      87.956ms         0.48%      87.956ms     109.945us      81.660ms         0.45%      81.660ms     102.074us           0 b           0 b           0 b           0 b           800  
                          aten::unfold         0.40%      72.240ms         0.43%      78.229ms     130.382us      81.083ms         0.45%      81.083ms     135.138us           0 b           0 b           0 b           0 b           600  
                    LogSoftmaxBackward         0.12%      21.453ms         0.41%      75.143ms     751.425us      23.752ms         0.13%      75.952ms     759.517us           0 b           0 b       7.28 Mb           0 b           100  
                       aten::threshold         0.26%      47.635ms         0.39%      70.496ms     352.480us      68.529ms         0.38%      68.529ms     342.647us           0 b           0 b     297.51 Mb           0 b           200  
                aten::nll_loss_forward         0.37%      67.795ms         0.37%      67.795ms     677.952us      66.702ms         0.37%      66.702ms     667.021us           0 b           0 b     100.00 Kb     100.00 Kb           100  
               aten::nll_loss_backward         0.36%      65.026ms         0.36%      65.026ms     650.264us      63.151ms         0.35%      63.151ms     631.510us           0 b           0 b     400.00 Kb     400.00 Kb           100  
